asset,rated_power_mw,energy_capacity_mwh,load_id,generator_id,valid_from,valid_to,state,county,postcode,latitude,longitude,load_zone,voltage_kv,import_capacity_mw,export_capacity_mw,commissioning_date,tech_type,is_co_located,co_located_type,co_located_mw,zone,owner,qse_id,qse,dme_id,dme,settlement_point_name,integrator,developer,manufacturer
Fort Duncan,100.0,200.0,FTDUNCAN_LD1,FTDUNCAN_BESS_GEN,2026-01-24,2049-12-31,TX,Maverick,78852,28.709143,-100.499519,south,138,,,2025-06-25,Battery,False,,,South,Hunt Energy Network,56,Tenaska,1096,FORT DUNCAN BESS LLC (DME),FTDUNCAN_RN,Canadian Solar,Black Mountain Energy Storage,Canadian Solar
Fort Duncan,100.0,200.0,FTDUNCAN_LD1,FTDUNCAN_BESS_GEN,2025-06-25,2026-01-23,TX,Maverick,78852,28.709143,-100.499519,south,138,,,2025-06-25,Battery,False,,,South,Recurrent Energy,56,Tenaska,1096,FORT DUNCAN BESS LLC (DME),FTDUNCAN_RN,Canadian Solar,Black Mountain Energy Storage,Canadian Solar
Flower Valley 2,101.0,200.0,FLOWERII_LD1,FLOWERII_BESS1,2025-04-16,2050-01-01,,Reeves,,31.197285,-103.3618,west,,,,2022-03-28,Battery,False,,,West,Jupiter Power,1110,JUPITER POWER ENERGY MANAGEMENT LLC,22,FLOWER VALLEY II LLC,FLOWERII_RN,,Jupiter Power,
Flower Valley 2,101.0,200.0,FLOWERII_LD1,FLOWERII_BESS1,2022-03-28,2025-04-15,,Reeves,,31.197285,-103.3618,west,,,,2022-03-28,Battery,False,,,West,Jupiter Power,14,TENASKA POWER SERVICES CO,22,FLOWER VALLEY II LLC,FLOWERII_RN,,Jupiter Power,
Flower Valley 1 (DGR),9.9,19.8,FLAT_TOP_LD8,FLAT_TOP_FLATU1,2025-04-02,2050-01-01,,Reeves,,31.197283,-103.3618,west,,,,2021-05-28,Battery,False,,,West,Jupiter Power,1110,JUPITER POWER ENERGY MANAGEMENT LLC,21,FLOWER VALLEY LLC,FLVABES1_ESR,,Jupiter Power,
Flower Valley 1 (DGR),9.9,19.8,FLAT_TOP_LD8,FLAT_TOP_FLATU1,2023-11-15,2025-04-01,,Reeves,,31.197283,-103.3618,west,,,,2021-05-28,Battery,False,,,West,Jupiter Power,14,TENASKA POWER SERVICES CO,21,FLOWER VALLEY LLC,FLVABES1_ESR,,Jupiter Power,
Flower Valley 1 (DGR),9.9,19.8,FLVABES1_LD1,FLVABES1_FLATU1,2021-10-06,2023-11-14,,Reeves,,31.197283,-103.3618,west,,,,2021-05-28,Battery,False,,,West,Jupiter Power,14,TENASKA POWER SERVICES CO,21,FLOWER VALLEY LLC,FLVABES1_ESR,,Jupiter Power,
Flower Valley 1 (DGR),9.9,19.8,FLVABES1_LD1,FLVABES1_FLATU1,2021-05-28,2021-10-05,,Reeves,,31.197283,-103.3618,west,,,,2021-05-28,Battery,False,,,West,Jupiter Power,4,TENASKA POWER SERVICES,21,FLOWER VALLEY LLC,FLVABES1_ESR,,Jupiter Power,
Flat Top (DGR),9.9,16.5,FLAT_TOP_LD7,FLAT_TOP_BESS1,2023-01-12,2050-01-01,,Reeves,,31.197283,-103.3618,west,,,,2020-05-28,Battery,False,,,West,Key Capture Energy,12,SHELL ENERGY NORTH AMERICA (US) LP,9,KEY CAPTURE ENERGY LLC,FLTBES1,,,
Flat Top (DGR),9.9,16.5,FLTBES_LD1,FLTBES_BESS1,2021-12-15,2023-01-10,,Reeves,,31.197283,-103.3618,west,,,,2020-05-28,Battery,False,,,West,Key Capture Energy,12,SHELL ENERGY NORTH AMERICA (US) LP,9,KEY CAPTURE ENERGY LLC,FLTBES1,,,
